date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash,qqq
2026-05-27,-0.0070057862933633475,0.0006958986621488084,0.9999999999999993,0.0,0.0,5,0,0,0,1.4117711297550097,9.06826697066876e-16,-0.0011365503642439823
2026-05-28,0.011920851968995061,0.009099998387987585,0.9999999999999993,0.0,0.0,5,0,0,0,1.4286006444069201,9.06826697066876e-16,0.008431009664815914
2026-05-29,-0.00193177571303782,0.0020488552601711785,0.9999999999999993,0.0,0.0,5,0,0,0,1.4258409083784247,9.06826697066876e-16,0.003684067427949911
2026-06-01,0.033314829357909304,0.004233552394984352,1.0000000000000002,0.8004802881729031,0.003546662118192763,5,0,0,0,1.4733425549325783,-4.401860820291148e-16,0.0060001896222454665
2026-06-02,0.09848744868989168,0.0002617510146081248,1.0000000000000002,0.0,0.0,5,0,0,0,1.6184483042141344,-4.401860820291148e-16,0.00460457225947164
2026-06-03,0.026426767092375236,-0.008855129752453617,1.0000000000000002,0.0,0.0,5,0,0,0,1.661218660600651,-4.401860820291148e-16,-0.0026133805082018124
2026-06-04,-0.014958387300249232,-0.0008572286119227224,1.0000000000000002,0.0,0.0,5,0,0,0,1.6363695084849852,-4.401860820291148e-16,-0.00483734429798055
2026-06-05,-0.12487986553371666,-0.0417998461478829,1.0000000000000002,0.0,0.0,5,0,0,0,1.4320199043019062,-4.401860820291148e-16,-0.048000972171588385
2026-06-08,0.07576622948739908,0.008566117568534093,1.0000000000000002,0.0,0.0,5,0,0,0,1.5405186530017678,-4.401860820291148e-16,0.015615692281508275
2026-06-09,-0.03633702739186562,-0.009673863830069518,1.0000000000000002,0.0,0.0,5,0,0,0,1.4845407845099627,-4.401860820291148e-16,-0.01150725487731652
2026-06-10,-0.04354267907637033,-0.019834244719967642,1.0000000000000002,0.0,0.0,5,0,0,0,1.4198999015542624,-4.401860820291148e-16,-0.019976548041196196
2026-06-11,0.09757337517886122,0.025433957766344273,1.0000000000000002,0.0,0.0,5,0,0,0,1.5584443273650446,-4.401860820291148e-16,0.033775894131384154
